"domain","name","type","title","title_t","help","help_t"
,,"menu","Wkf Management","Gestion des processus",,
,,"menu","Configurations","Configurations",,
,,"menu","Instances","Instances",,
,,"menu","Nodes","Nœuds",,
,,"menu","Transitions","Transitions",,
,,"menu","Workflows","Les Processus",,
"com.axelor.wkf.db.Instance","workflow","field","Workflow","Processus",,
"com.axelor.wkf.db.Instance","metaModelId","field","Model ID","Modèle ID",,
"com.axelor.wkf.db.Instance","nodes","field","Nodes","Les Noeuds",,
"com.axelor.wkf.db.Instance","waitingNodes","field",,"Les Noeuds en attentes",,
"com.axelor.wkf.db.Instance","executedNodes","field","Executed nodes","Les Noeuds exécutés",,
"com.axelor.wkf.db.Instance","creationDate","field","Creation date","Date de création",,
"com.axelor.wkf.db.Instance","creationUser","field","User","Utilisateur",,
"com.axelor.wkf.db.Instance","histories","field","Histories","Historique",,
"com.axelor.wkf.db.Instance","counters","field","Counters","Compteurs",,
"com.axelor.wkf.db.InstanceHistory","instance","field",,"Instance",,
"com.axelor.wkf.db.InstanceHistory","transition","field","Transition","Transition",,
"com.axelor.wkf.db.InstanceHistory","creationDate","field","Création date","Date de création",,
"com.axelor.wkf.db.InstanceHistory","creationUser","field","User","Utilisateur",,
"com.axelor.wkf.db.InstanceCounter","instance","field",,"Instance",,
"com.axelor.wkf.db.InstanceCounter","node","field","Node","Noeud",,
"com.axelor.wkf.db.InstanceCounter","counter","field","Counter","Compteur",,
"com.axelor.wkf.db.WaitingNode","instance","field",,"Instance",,
"com.axelor.wkf.db.WaitingNode","node","field","Node","Noeud",,
"com.axelor.wkf.db.WaitingNode","transitions","field","Transitions","Transitions",,
"com.axelor.wkf.db.Workflow","name","field",,"Nom",,
"com.axelor.wkf.db.Workflow","metaModel","field",,"Model",,
"com.axelor.wkf.db.Workflow","node","field",,"Noeud",,
"com.axelor.wkf.db.Workflow","maxNodeCounter","field",,"Nombre de noeuds maximun",,
"com.axelor.wkf.db.Workflow","condition","field","Condition","Condition",,
"com.axelor.wkf.db.Workflow","sequence","field",,"Sequence",,
"com.axelor.wkf.db.Workflow","description","field",,"Description",,
"com.axelor.wkf.db.Workflow","active","field",,"Actif ?",,
"com.axelor.wkf.db.Workflow","bpmn","field",,"BPMN",,
"com.axelor.wkf.db.Workflow","xmlData","field",,"Données XML",,
"com.axelor.wkf.db.Workflow","ref","field",,"Ref",,
"com.axelor.wkf.db.Node","name","field","Name","Nom",,
"com.axelor.wkf.db.Node","type","field","Type","Type",,
"com.axelor.wkf.db.Node","action","field","Action","Action",,
"com.axelor.wkf.db.Node","logicOperator","field","Start Logic Operator","Opérateur Logique de Départ",,
"com.axelor.wkf.db.Node","startTransitions","field",,"Transition de départ",,
"com.axelor.wkf.db.Node","endTransitions","field",,"Transition de fin",,
"com.axelor.wkf.db.Node","description","field",,"Description",,
"com.axelor.wkf.db.Node","ref","field",,"Ref",,
"com.axelor.wkf.db.Transition","startNode","field",,"Noeud de départ",,
"com.axelor.wkf.db.Transition","nextNode","field",,"Prochain noeud",,
"com.axelor.wkf.db.Transition","name","field","Name","Nom",,
"com.axelor.wkf.db.Transition","condition","field",,"Condition",,
"com.axelor.wkf.db.Transition","sequence","field",,"Séquence",,
"com.axelor.wkf.db.Transition","description","field",,"Description",,
"com.axelor.wkf.db.Transition","signal","field",,"Signal",,
"com.axelor.wkf.db.Transition","role","field",,"Role",,
"com.axelor.wkf.db.Transition","ref","field",,"Ref",,
,,"select",,,,
,,"select","AND","ET",,
,,"select","OR","OU",,
,,"select","XOR","XOR",,
,,"select","Start","Démarrer",,
,,"select","Intermediary","Intermédiaire",,
,,"select","Stop","Arrêt",,
,,"select","Gateway","Gateway",,
"com.axelor.wkf.db.Transition",,"view","Transition","Transition",,
"com.axelor.wkf.db.Transition",,"separator","Description","Description",,
"com.axelor.wkf.db.Transition",,"view","Transitions","Transitions",,
"com.axelor.wkf.db.InstanceCounter",,"view","Counter","Compteur",,
"com.axelor.wkf.db.InstanceCounter",,"view","Counters","Compteurs",,
"com.axelor.wkf.db.Instance",,"view","Instances","Instances",,
"com.axelor.wkf.db.Instance",,"viewField","Meta model",,,
"com.axelor.wkf.db.Instance",,"page","Diagram","Diagramme",,
"com.axelor.wkf.db.Instance",,"page","Details","Détails",,
"com.axelor.wkf.db.Instance",,"page","History","Historique",,
"com.axelor.wkf.db.Instance",,"page","Counter","Compteur",,
"com.axelor.wkf.db.Instance",,"view","Instances","Instances",,
"com.axelor.wkf.db.Instance",,"viewField","Meta model",,,
"com.axelor.wkf.db.InstanceHistory",,"view","History","Historique",,
"com.axelor.wkf.db.InstanceHistory",,"view","Histories","Historiques",,
"com.axelor.wkf.db.Node",,"view","Node","Nœud",,
"com.axelor.wkf.db.Node",,"separator","Description","Description",,
"com.axelor.wkf.db.Node",,"view","Nodes","Nœuds",,
"com.axelor.wkf.db.Transition",,"view","Transition","Transition",,
"com.axelor.wkf.db.Transition",,"separator","Description","Description",,
"com.axelor.wkf.db.Transition",,"view","Transitions","Transitions",,
"com.axelor.wkf.db.Transition",,"view","Transition","Transition",,
"com.axelor.wkf.db.Transition",,"separator","Description","Description",,
"com.axelor.wkf.db.Transition",,"view","Transitions","Transitions",,
"com.axelor.wkf.db.WaitingNode",,"view","Waiting node","nœud d'attente",,
"com.axelor.wkf.db.WaitingNode",,"view","Waiting nodes","nœuds d'attente",,
"com.axelor.wkf.db.Workflow",,"button","Editor","Éditeur",,
"com.axelor.wkf.db.Workflow",,"button","Instances","Instances",,
"com.axelor.wkf.db.Workflow",,"button","Import","Import",,
"com.axelor.wkf.db.Workflow",,"view","Workflow","Processus",,
"com.axelor.wkf.db.Workflow","archived","field",,"Archivé ?",,
"com.axelor.wkf.db.Workflow",,"page","Description","Description",,
"com.axelor.wkf.db.Workflow",,"page","BPMN","BPMN",,
"com.axelor.wkf.db.Workflow",,"page","XML","XML",,
"com.axelor.wkf.db.Workflow",,"view","Workflows","Les Processus",,
,,"action","Instances","Instances",,
,,"action","Process","Processus",,
,,"action","Nodes","Nœuds",,
,,"action","Transitions","Transitions",,
,,"action","Worklows","Processus",,
,,"action","Can't save workflow without start node","Impossible de sauvegarder le processus sans le nœud de départ",,
"workflow-form","openEditor","documentation",,,,
"workflow-form","openInstances","documentation",,,,
"workflow-form","importWorkflow","documentation",,,,
"workflow-form","name","documentation",,,,
"workflow-form","metaModel","documentation",,,,
"workflow-form","maxNodeCounter","documentation",,,,
"workflow-form","node","documentation",,,,
"workflow-form","sequence","documentation",,,,
"workflow-form","condition","documentation",,,,
"workflow-form","active","documentation",,,,
"workflow-form","archived","documentation",,,,
"workflow-form","description","documentation",,,,
"workflow-form","bpmn","documentation",,,,
"workflow-form","xmlData","documentation",,,,
"instance-counter-form","node","documentation",,,,
"instance-counter-form","counter","documentation",,,,
"transition-form","sequence","documentation",,,,
"transition-form","name","documentation",,,,
"transition-form","startNode","documentation",,,,
"transition-form","nextNode","documentation",,,,
"transition-form","role","documentation",,,,
"transition-form","signal","documentation",,,,
"transition-form","condition","documentation",,,,
"transition-form","description","documentation",,,,
"instance-history-form","creationDate","documentation",,,,
"instance-history-form","creationUser","documentation",,,,
"instance-history-form","transition","documentation",,,,
"instance-form","workflow","documentation",,,,
"instance-form","workflow.metaModel.name","documentation",,,,
"instance-form","metaModelId","documentation",,,,
"instance-form","diagram","documentation",,,,
"instance-form","nodes","documentation",,,,
"instance-form","waitingNodes","documentation",,,,
"instance-form","executedNodes","documentation",,,,
"instance-form","creationDate","documentation",,,,
"instance-form","creationUser","documentation",,,,
"instance-form","histories","documentation",,,,
"instance-form","counters","documentation",,,,
"waiting-node-form","node","documentation",,,,
"waiting-node-form","transitions","documentation",,,,
"node-form","type","documentation",,,,
"node-form","name","documentation",,,,
"node-form","action","documentation",,,,
"node-form","logicOperator","documentation",,,,
"node-form","startTransitions","documentation",,,,
"node-form","endTransitions","documentation",,,,
"node-form","description","documentation",,,,
"end-transition-form","sequence","documentation",,,,
"end-transition-form","name","documentation",,,,
"end-transition-form","nextNode","documentation",,,,
"end-transition-form","role","documentation",,,,
"end-transition-form","signal","documentation",,,,
"end-transition-form","condition","documentation",,,,
"end-transition-form","description","documentation",,,,
"start-transition-form","sequence","documentation",,,,
"start-transition-form","name","documentation",,,,
"start-transition-form","startNode","documentation",,,,
"start-transition-form","role","documentation",,,,
"start-transition-form","signal","documentation",,,,
"start-transition-form","condition","documentation",,,,
"start-transition-form","description","documentation",,,,
